transaction_id,user_id,date,amount,merchant,category,is_known_anomaly,anomaly_type
txn_00174,user_7,2026-01-25T17:43:53,60.08,Internet Provider,utilities,False,
txn_00275,user_11,2026-03-06T10:24:55,98.95,Concert Tickets,entertainment,False,
txn_00490,user_20,2026-01-27T17:17:38,15.34,Steam,entertainment,False,
txn_00073,user_3,2026-02-08T15:28:28,9.2,iCloud,subscriptions,False,
txn_00306,user_13,2026-02-22T14:41:04,61.74,AMC Theaters,entertainment,False,
txn_00077,user_4,2026-02-01T21:26:56,38.62,Uber,transport,False,
txn_00476,user_20,2026-03-15T19:34:44,28.27,Gas Station,transport,False,
txn_00141,user_6,2026-01-01T16:03:12,175.83,IKEA,shopping,False,
txn_00470,user_19,2026-03-10T14:07:16,34.34,Local Cafe,dining,False,
txn_00499,user_20,2026-03-27T21:34:25,81.27,Amazon,shopping,False,
txn_00219,user_9,2026-02-11T09:56:03,94.73,Concert Tickets,entertainment,False,
txn_00010,user_1,2026-03-24T10:47:35,12.86,Lyft,transport,False,
txn_00480,user_20,2026-03-05T20:53:28,42.66,Gas Station,transport,False,
txn_00079,user_4,2026-02-01T10:49:27,55.24,Chipotle,dining,False,
txn_00323,user_13,2026-02-10T17:29:31,62.94,Sushi Bar,dining,False,
txn_00313,user_13,2026-03-26T14:53:59,116.48,Internet Provider,utilities,False,
txn_00125,user_5,2026-02-18T20:19:36,54.97,Metro Transit,transport,False,
txn_00385,user_16,2026-02-08T16:24:52,42.04,Gas Station,transport,False,
txn_00196,user_8,2026-03-18T10:34:16,40.5,Trader Joe's,groceries,False,
txn_00448,user_18,2026-03-30T12:24:17,105.84,Target,shopping,False,
txn_00272,user_11,2026-03-05T18:36:15,94.33,Internet Provider,utilities,False,
txn_00279,user_12,2026-03-11T22:43:29,21.27,Spotify,subscriptions,False,
txn_00031,user_2,2026-01-07T09:25:46,135.89,Amazon,shopping,False,
txn_00500,user_20,2026-01-28T13:20:53,50.37,Gas Station,transport,False,
txn_00421,user_17,2026-01-11T10:25:24,198.46,Amazon,shopping,False,
txn_00445,user_18,2026-02-08T20:39:24,114.37,Local Market,groceries,False,
